time,open,high,low,close,funding
2017-04-12T00:00:00Z,43.84,47.88,43.58,46.48,NaN
2017-04-13T00:00:00Z,46.48,51.11,46.22,49.77,NaN
2017-04-14T00:00:00Z,49.86,50,46.52,47.2,NaN
2017-04-15T00:00:00Z,47.19,74.98,46.78,48.94,NaN
2017-04-16T00:00:00Z,48.93,49.25,47.5,48.13,NaN
2017-04-17T00:00:00Z,48.19,48.29,47.5,47.94,NaN
2017-04-18T00:00:00Z,47.94,49.93,47.7,49.79,NaN
2017-04-19T00:00:00Z,49.85,50.32,47.25,47.78,NaN
2017-04-20T00:00:00Z,47.71,49.5,47.6,49.38,NaN
2017-04-21T00:00:00Z,49.39,49.49,48.24,48.37,NaN
2017-04-22T00:00:00Z,48.38,49.08,48.22,48.61,NaN
2017-04-23T00:00:00Z,48.58,49,48.25,48.96,NaN
2017-04-24T00:00:00Z,48.95,50.44,48.94,50.12,NaN
2017-04-25T00:00:00Z,50.11,50.75,50,50.31,NaN
2017-04-26T00:00:00Z,50.28,54.85,50.25,53.42,NaN
2017-04-27T00:00:00Z,53.4,63.99,52.66,63.67,NaN
2017-04-28T00:00:00Z,63.65,74.9,62.5,73.14,NaN
2017-04-29T00:00:00Z,73.17,74.89,68.24,70.4,NaN
2017-04-30T00:00:00Z,70.37,82.9,70,80.87,NaN
2017-05-01T00:00:00Z,80.72,85.21,72.24,79.35,NaN
2017-05-02T00:00:00Z,79.05,83.07,75.54,77.55,NaN
2017-05-03T00:00:00Z,77.55,81.4,75.89,81.29,NaN
2017-05-04T00:00:00Z,81.19,96.66,80.31,95.97,NaN
2017-05-05T00:00:00Z,95.98,98.98,89,91.93,NaN
2017-05-06T00:00:00Z,91.94,96.42,91.94,95.84,NaN
2017-05-07T00:00:00Z,95.74,97.95,90,93.82,NaN
2017-05-08T00:00:00Z,93.83,94.74,85.1,89.25,NaN
2017-05-09T00:00:00Z,89.25,90.08,75.89,86.58,NaN
2017-05-10T00:00:00Z,86.77,91.98,85.39,88.36,NaN
2017-05-11T00:00:00Z,88.36,90.99,87.01,88.3,NaN
